ohpi_id	ohpi_label	victor_id	ogg_iri	victor_gene_name	victor_pathogen_name	victor_pathogen_taxon	victor_host_name	victor_host_taxon	victor_host_cell_ontology_iri	victor_host_cell_ontology_name	victor_host_cell_line_ontology_iri	victor_host_cell_line_ontology_name
OHPI_9000061	M. tuberculosis Rv1710 mutant interaction with mouse	87	OGG_3000885116	Rv1710	M. tuberculosis	1773	mouse	10090				
OHPI_9000062	M. tuberculosis coaA mutant interaction with mouse	88	OGG_3000885120	coaA	M. tuberculosis	1773	mouse	10090				
OHPI_9000063	M. tuberculosis argJ mutant interaction with mouse	89	OGG_3000885125	argJ	M. tuberculosis	1773	mouse	10090				
OHPI_9000064	M. tuberculosis prrA mutant interaction with mouse	90	OGG_3000885209	prrA	M. tuberculosis	1773	mouse	10090				
OHPI_9000065	M. tuberculosis prrA mutant interaction with mouse macrophage cell	90	OGG_3000885209	prrA	M. tuberculosis	1773	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage cell		
OHPI_9000051	M. tuberculosis cysH mutant interaction with mouse	91	OGG_3000885250	cysH	M. tuberculosis	1773	mouse	10090				
OHPI_9000066	M. tuberculosis ompA mutant interaction with mouse	92	OGG_3000885286	ompA	M. tuberculosis	1773	mouse	10090				
OHPI_9000067	M. tuberculosis ompA mutant interaction with mouse macrophage cell	92	OGG_3000885286	ompA	M. tuberculosis	1773	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage cell		
OHPI_9000068	M. tuberculosis Rv3651 mutant interaction with mouse	93	OGG_3000885296	Rv3651	M. tuberculosis	1773	mouse	10090				
OHPI_9000069	M. tuberculosis hemN mutant interaction with mouse	94	OGG_3000885300	hemN	M. tuberculosis	1773	mouse	10090				
OHPI_9000070	M. tuberculosis Rv2387 mutant interaction with mouse	95	OGG_3000885302	Rv2387	M. tuberculosis	1773	mouse	10090				
OHPI_9000071	M. tuberculosis Rv1747 mutant interaction with mouse	96	OGG_3000885311	Rv1747	M. tuberculosis	1773	mouse	10090				
OHPI_9000072	M. tuberculosis Rv3631 mutant interaction with mouse	97	OGG_3000885314	Rv3631	M. tuberculosis	1773	mouse	10090				
OHPI_9000073	M. tuberculosis Rv1930c mutant interaction with mouse	98	OGG_3000885344	Rv1930c	M. tuberculosis	1773	mouse	10090				
OHPI_9000074	M. tuberculosis Rv3616c mutant interaction with mouse	100	OGG_3000885377	Rv3616c	M. tuberculosis	1773	mouse	10090				
OHPI_9000075	M. tuberculosis pepD mutant interaction with mouse	101	OGG_3000885382	pepD	M. tuberculosis	1773	mouse	10090				
OHPI_9000076	M. tuberculosis lysS mutant interaction with mouse	102	OGG_3000885428	lysS	M. tuberculosis	1773	mouse	10090				
OHPI_9000077	M. tuberculosis Rv1931c mutant interaction with mouse	103	OGG_3000885437	Rv1931c	M. tuberculosis	1773	mouse	10090				
OHPI_9000078	M. tuberculosis Rv0950c mutant interaction with mouse	104	OGG_3000885438	Rv0950c	M. tuberculosis	1773	mouse	10090				
